channel,account_id,type_value,value,total,account_display_name
youtube,UCCv-vtKvMvP3Lxa5rCAea2g,fan,1820000.0,2836623.088607595,I Roam Alone
youtube,UCCv-vtKvMvP3Lxa5rCAea2g,average_engagement_per_post,1016623.088607595,2836623.088607595,I Roam Alone
youtube,UCDWxWFsFiOkI-104ODwAXHw,fan,1700000.0,2773859.8482142854,Ajumma Nammy
youtube,UCDWxWFsFiOkI-104ODwAXHw,average_engagement_per_post,1073859.8482142857,2773859.8482142854,Ajumma Nammy
youtube,UCCPqHy_GPA_4tDuCg6N_mJQ,fan,2490000.0,2756256.1739130435,[tackle4826] - Tackle Minecraft
youtube,UCCPqHy_GPA_4tDuCg6N_mJQ,average_engagement_per_post,266256.17391304346,2756256.1739130435,[tackle4826] - Tackle Minecraft
youtube,UCAcYshki68X7GXNrYnbZQEQ,fan,2570000.0,2754138.2072829134,Bon Gamerz
youtube,UCAcYshki68X7GXNrYnbZQEQ,average_engagement_per_post,184138.20728291318,2754138.2072829134,Bon Gamerz
youtube,UCBX3QtUxycdK_hm6JQCajgw,fan,2400000.0,2701838.6507936507,Arainy
youtube,UCBX3QtUxycdK_hm6JQCajgw,average_engagement_per_post,301838.65079365077,2701838.6507936507,Arainy
youtube,UCr7vfoOerACFbkVbFGKYL_Q,fan,1960000.0,2642051.504385965,tigercrychannel
youtube,UCr7vfoOerACFbkVbFGKYL_Q,average_engagement_per_post,682051.504385965,2642051.504385965,tigercrychannel
youtube,UCB8p9XDpbCoX9slaPPP7sgw,fan,2310000.0,2599949.1951219514,KidsOnCloud
youtube,UCB8p9XDpbCoX9slaPPP7sgw,average_engagement_per_post,289949.1951219512,2599949.1951219514,KidsOnCloud
youtube,UCsGx1qSnAS2P1YCJPYnYVUg,fan,1890000.0,2577193.1146496814,OPZ TV
youtube,UCsGx1qSnAS2P1YCJPYnYVUg,average_engagement_per_post,687193.1146496815,2577193.1146496814,OPZ TV
youtube,UCUBrgjvMxK2OAMVhbwdeARA,fan,1470000.0,2556111.551546392,สะใภ้เกาหลี by korean
youtube,UCUBrgjvMxK2OAMVhbwdeARA,average_engagement_per_post,1086111.5515463918,2556111.551546392,สะใภ้เกาหลี by korean
youtube,UC9oL5fV-5XfWKyg9Cwmnuxg,fan,2280000.0,2486241.1849710983,Layza Racing
youtube,UC9oL5fV-5XfWKyg9Cwmnuxg,average_engagement_per_post,206241.18497109826,2486241.1849710983,Layza Racing
youtube,UCdlpXdGT3nGDTqIlxUcufCQ,fan,2110000.0,2425041.9383561644,Doyser
youtube,UCdlpXdGT3nGDTqIlxUcufCQ,average_engagement_per_post,315041.9383561644,2425041.9383561644,Doyser
youtube,UCZiboBUA0U1tn31MyHoMYLQ,fan,2410000.0,2414901.0204081633,FoodTravelTVChannel
youtube,UCZiboBUA0U1tn31MyHoMYLQ,average_engagement_per_post,4901.0204081632655,2414901.0204081633,FoodTravelTVChannel
youtube,UC2o99rDqg6wcG8i0HdIzqZQ,fan,2050000.0,2408891.1651376146,Yamatum O
youtube,UC2o99rDqg6wcG8i0HdIzqZQ,average_engagement_per_post,358891.1651376147,2408891.1651376146,Yamatum O
youtube,UCySTin1D_pBbtNMVfGmp40g,fan,2010000.0,2401501.985815603,OHVER
youtube,UCySTin1D_pBbtNMVfGmp40g,average_engagement_per_post,391501.9858156028,2401501.985815603,OHVER
youtube,UCsUtjQKoCERAMpOmQKU26RA,fan,1970000.0,2367556.462450593,กับข้าวกับปลาโอ PlaoCooking
youtube,UCsUtjQKoCERAMpOmQKU26RA,average_engagement_per_post,397556.4624505929,2367556.462450593,กับข้าวกับปลาโอ PlaoCooking
youtube,UCgnfhwqu9RdSHqCR2wULc3A,fan,2200000.0,2321055.0692307693,VVFwave Kung
youtube,UCgnfhwqu9RdSHqCR2wULc3A,average_engagement_per_post,121055.06923076924,2321055.0692307693,VVFwave Kung
