account_id,type,value,account_display_name,category,fan_range
1092731204080242,comment,87677,ฉันกลัวที่แคบ,Travel,500K-1M
1092731204080242,tag_friend,43271,ฉันกลัวที่แคบ,Travel,500K-1M
1092731204080242,purchase_intention,6065,ฉันกลัวที่แคบ,Travel,500K-1M
1095947270526247,total_engagement,1782256,กิน เที่ยว ถ่าย,Travel,300K-500K
1095947270526247,reaction,1115750,กิน เที่ยว ถ่าย,Travel,300K-500K
1095947270526247,share,372730,กิน เที่ยว ถ่าย,Travel,300K-500K
1095947270526247,comment,163450,กิน เที่ยว ถ่าย,Travel,300K-500K
1095947270526247,tag_friend,123771,กิน เที่ยว ถ่าย,Travel,300K-500K
1095947270526247,purchase_intention,6555,กิน เที่ยว ถ่าย,Travel,300K-500K
109780765859290,total_engagement,57927,Dot Property,Finance & Business,300K-500K
109780765859290,reaction,49830,Dot Property,Finance & Business,300K-500K
109780765859290,share,6616,Dot Property,Finance & Business,300K-500K
109780765859290,comment,1098,Dot Property,Finance & Business,300K-500K
109780765859290,tag_friend,365,Dot Property,Finance & Business,300K-500K
109780765859290,purchase_intention,18,Dot Property,Finance & Business,300K-500K
1097935803669684,total_engagement,7275572,ไข่แมวx,Entertainment,500K-1M
1097935803669684,reaction,6676611,ไข่แมวx,Entertainment,500K-1M
1097935803669684,share,421319,ไข่แมวx,Entertainment,500K-1M
1097935803669684,comment,142415,ไข่แมวx,Entertainment,500K-1M
1097935803669684,tag_friend,34407,ไข่แมวx,Entertainment,500K-1M
1097935803669684,purchase_intention,820,ไข่แมวx,Entertainment,500K-1M
109808163838276,total_engagement,14828374,Pantipa.a,Blogger/Influencer,500K-1M
109808163838276,reaction,13472539,Pantipa.a,Blogger/Influencer,500K-1M
109808163838276,share,820215,Pantipa.a,Blogger/Influencer,500K-1M
109808163838276,comment,327426,Pantipa.a,Blogger/Influencer,500K-1M
109808163838276,tag_friend,206080,Pantipa.a,Blogger/Influencer,500K-1M
109808163838276,purchase_intention,2114,Pantipa.a,Blogger/Influencer,500K-1M
110160872355076,total_engagement,5200559,Wannasingh Prasertkul (วรรณสิงห์ ประเสริฐกุล),Blogger/Influencer,500K-1M
110160872355076,reaction,4920099,Wannasingh Prasertkul (วรรณสิงห์ ประเสริฐกุล),Blogger/Influencer,500K-1M
110160872355076,share,160451,Wannasingh Prasertkul (วรรณสิงห์ ประเสริฐกุล),Blogger/Influencer,500K-1M
110160872355076,comment,99165,Wannasingh Prasertkul (วรรณสิงห์ ประเสริฐกุล),Blogger/Influencer,500K-1M
110160872355076,tag_friend,20336,Wannasingh Prasertkul (วรรณสิงห์ ประเสริฐกุล),Blogger/Influencer,500K-1M
110160872355076,purchase_intention,508,Wannasingh Prasertkul (วรรณสิงห์ ประเสริฐกุล),Blogger/Influencer,500K-1M
1109835245701916,total_engagement,919041,ก้นครัวไม่กลัวหิว,Food and Drink,500K-1M
1109835245701916,reaction,586979,ก้นครัวไม่กลัวหิว,Food and Drink,500K-1M
1109835245701916,share,315062,ก้นครัวไม่กลัวหิว,Food and Drink,500K-1M
1109835245701916,comment,9374,ก้นครัวไม่กลัวหิว,Food and Drink,500K-1M
1109835245701916,tag_friend,6741,ก้นครัวไม่กลัวหิว,Food and Drink,500K-1M
1109835245701916,purchase_intention,885,ก้นครัวไม่กลัวหิว,Food and Drink,500K-1M
1110156975701916,total_engagement,796407,ชิลดี,Travel,300K-500K
1110156975701916,reaction,627115,ชิลดี,Travel,300K-500K
1110156975701916,share,94576,ชิลดี,Travel,300K-500K
1110156975701916,comment,41544,ชิลดี,Travel,300K-500K
1110156975701916,tag_friend,31352,ชิลดี,Travel,300K-500K
1110156975701916,purchase_intention,1820,ชิลดี,Travel,300K-500K
1111995852155904,total_engagement,8223541,Bebe Fit Routine,Blogger/Influencer,1M-9M
1111995852155904,reaction,7742422,Bebe Fit Routine,Blogger/Influencer,1M-9M
