channel,account_id,account_username,account_display_name
facebook,148371458548071,,taKLONG.com
facebook,1485819988376962,,MotoWish
facebook,1485877214992898,,PK's Trading Diary
facebook,1485961075046420,,ReviewPapai - รีวิวพาไป
facebook,1486448315017458,,Ndmikkiholic - beauty & surgery
facebook,148837138514072,,Freeware.in.th
facebook,148994658484465,,Dailydelicious
facebook,1492294674327397,,คลินิกกองทุน
facebook,1492772990967861,,HashCorner
facebook,149400895675712,,Dude It’s Time
facebook,1494226220658121,,SnapTech Zone
facebook,1496114764046899,,ติน่า เทย์เลอร์ - Tina Taylor
facebook,453493788146565,,รีวิวโคราช
facebook,1496692807290112,,ZJB
facebook,1497581363841070,,SCIWAYS
facebook,1497736673719941,,หมีเรื่องมาเล่า
facebook,1498062087166071,,กินข้าวกัน
facebook,1498333183763626,,spin9.me
facebook,1498333183763626,,spin9
facebook,1499420620362180,,Foodoclock Eat Around Theclock
facebook,1499420620362180,,Food O Clock
facebook,1501588676783760,,วินทร์ เลียววาริณ
facebook,1502474313404110,คําไทย,คําไทย
facebook,1502685290026738,,หัวกลม
facebook,150276105035819,,Mossster
facebook,150289821794664,,Lannajr.tv
facebook,150320285013073,,วางแผนการเงินกับภูเขา Poohkao Financial Club
facebook,1504118036513564,,EssaySeektv
facebook,1504206229655134,,นินจา การตลาด
facebook,1505130026460747,,Fit Style Fern
facebook,1505683352790505,,Lili Tae
facebook,1510459365835801,,SOS - Save Our Sea
facebook,1510735009191427,คุณเค,คุณเค
facebook,1510897615854955,,Signature Gaming
facebook,151234244936649,,การเงินธนาคาร
facebook,1512832648962606,,"ENfoodgallery - enjoy food, enjoy life"
facebook,1512997169009279,,Foodyoucaneat เรากินได้ คุณก็กินได้
facebook,1514554848849607,,บันทึกคนขี้เที่ยว
facebook,1515331151855571,,นักเล่าความคิด
facebook,1517043741843044,,เลี้ยงลูกให้มีความสุข by mommy Arpan
facebook,1517852608428848,,ใต้เตียงดารา
facebook,151895391544324,,Peachhypeach
facebook,151950764863510,,Mo-emag
facebook,1519823004986414,,ครัวป้ามารายห์
facebook,210338009123434,,Thai Livestream
facebook,1522018888083950,,Sundae Kids
facebook,152222984877452,,FAP-Gamer
facebook,1522668621359728,,Loi story
facebook,1523107561151019,,Environman
facebook,1524669124470213,,เบื่อผัว
facebook,1526415970966495,,คิดในใจ
facebook,1526610050931516,,Bankgarmo Gamecaster
facebook,1527630557471626,,ตีแผ่ชีวิตมหาลัย
facebook,1528716240767579,,Go Went Go : เที่ยว เว้น เที่ยว
facebook,1529950080565270,,กล้า สมุทวณิช
facebook,153170028067469,,Yoga with Jib
facebook,153200514816848,,LoveSyrup
facebook,1532657213616873,,อวยไส้แตกแหกไส้ฉีก
facebook,1533150343625234,,EECTHAILAND
facebook,1533863273528332,,ท็อฟฟี่เป็นตุ๊ดซ่อมคอม
facebook,1534219343571848,,Egadget Thailand - powerbank
facebook,1535103730092233,,มึงอะคิดมาก
facebook,1535103730092233,,KidmakGag
facebook,1536395153279762,,สาระบรรพชีวิน
facebook,1537184269849659,,Dujdow
facebook,1537345399850424,,Foodbymay
facebook,1537358433060968,,ครูบอลลี่ Teacher ดาหวัน
facebook,1538217449757926,,Baroctar
facebook,1540938496124910,,CU.FITGIRL
facebook,1543122445984009,,REDDY
facebook,1544329662449974,,Chobrod.com
facebook,1544951868905557,,Gssspotted
facebook,1544971805735023,,1000MilesJourney
facebook,1545448992149994,,a ดวง
facebook,154646221272871,,Money Talk
facebook,1547502455543958,,StardewToon
facebook,1548711245381061,,ผู้หญิงฟิตกล้ามหุ่นดี
facebook,1549212705401384,,Piyapeauty Makeup
facebook,154923234579264,,tua pen not
facebook,154984664519467,,wongnai.com
facebook,1550219711879374,,F1 Thailand Fanclub
facebook,1550251861682335,,Judie TV
facebook,1551162318537871,,วอนนาบีรีวิว
facebook,155319061275802,,พี่แว่น
facebook,1554256618210439,,Ad-Aof TV
facebook,1555038444771908,,6 August Journey
facebook,155721951556,,Thailand Investment Forum
facebook,155935781702264,,Zero Waste Thailand
facebook,1559669844287797,,สอนแฮกเว็บแบบแมวๆ
facebook,1559823787669231,,จอห์น ไรเดอร์ - John Rider
facebook,1560151484227964,,วิศวกรรีพอร์ต
facebook,1560706970896347,,Gaming Room
facebook,156074804435295,,papayatop.com
facebook,156091578069821,,FINNOMENA
facebook,156261024747269,,ReviewHere
facebook,1563085503911197,,Yueiiz K
facebook,156320811194,,ท่องเที่ยวชิลชิล
facebook,156324104763693,,Set50indexfuture
facebook,1563351190645077,,ชุมชนคนสร้างซิกแพ็ค sixpackclub.net
facebook,156390031968274,,ป่านฉะนี้ จะรีวิว
facebook,1564157657153550,,พี่ม้าพาเที่ยว ฮี่ฮี่เจแปน
facebook,1564722203846481,,Asayhi Channel
facebook,1564882753729371,,My Mate Nate
facebook,1565702986980851,,เพราะชั้นจนไงล่ะ
facebook,1565942337030186,,People Management by ครูอ๊อฟ
facebook,156629391077341,,June Jellyjune
facebook,1566905440022129,,Stock Daily Journal
facebook,156752471526675,,We read this book
facebook,156796752044,,Jeban.com
facebook,156848433816,,MEGAXGAME
