,account_display_name,view,count,avg_view,created_at,fan,type_fan
179,Dek Jew Chill Out,289827776,352,823374,2020-12-13 16:00:24,4090000,Gold
180,Dek Jew Small World,7224806,100,72248,2020-12-11 16:30:03,1450000,Gold
182,Deklaaon Channel,80383156,215,373875,2020-12-30 17:00:02,3000000,Gold
183,DevilMeiji,72848938,291,250339,2020-10-12 19:40:06,1750000,Gold
184,Diesel Thailand FC,399212,50,7984,2020-12-23 13:09:35,143000,Silver
186,Doctor Top,15644276,521,30027,2020-12-31 20:00:01,316000,Silver
187,Dopper,1091895,13,83991,2020-03-02 09:32:40,404000,Silver
190,Doyser,90148745,292,308728,2020-12-30 09:00:01,2110000,Gold
192,Dr.V Channel,10477174,302,34692,2020-12-30 07:18:19,271000,Silver
194,DrAmp Team,8733824,43,203112,2020-12-31 12:00:02,347000,Silver
202,EVA GAMER,14583879,259,56308,2020-12-31 08:30:01,756000,Silver
203,EVOS TH,12202536,125,97620,2020-12-25 18:30:05,293000,Silver
204,EYETA,23367061,177,132017,2020-12-26 19:30:00,1050000,Gold
205,EasyCooking,1400716,161,8700,2020-12-29 16:30:00,134000,Silver
208,EaterOat,14015497,49,286030,2020-12-26 17:01:10,797000,Silver
209,Eatguide,13385389,106,126277,2020-12-29 18:00:13,154000,Silver
210,Edwin Official,11607387,163,71210,2020-12-27 22:22:34,261000,Silver
212,Ejan,32703171,1989,16442,2020-12-31 23:45:02,879000,Silver
217,English Fit and Firm,1568616,109,14390,2020-12-30 12:45:59,186000,Silver
219,Epic Time,272831219,157,1737778,2020-12-31 16:00:08,4270000,Gold
220,Erk-Erk,679501,766,887,2020-12-10 00:59:31,122000,Silver
222,Evefee,1990378,83,23980,2020-12-28 19:00:14,195000,Silver
224,Extreme IT,25010272,546,45806,2020-12-14 22:08:59,318000,Silver
225,FAPGAMER,56760,32,1773,2020-12-29 19:55:07,229000,Silver
226,FAROSE CHANNEL,7141424,35,204040,2020-12-30 18:00:31,194000,Silver
227,FIFA TarGrean,25275374,176,143610,2020-12-30 19:31:04,1260000,Gold
228,FIFA WaTaFak,34736986,229,151689,2020-12-31 19:42:07,506000,Silver
230,FITWHEY,315289,123,2563,2020-12-24 16:30:01,109000,Silver
231,FNDiary,89000548,330,269698,2020-12-31 20:00:17,805000,Silver
232,FPSThailand,7097826,538,13192,2020-12-31 16:54:31,714000,Silver
233,FZK Frozenkiss,615638,16,38477,2020-12-10 17:40:01,485000,Silver
234,Fah sarika,8549784,78,109612,2020-10-23 19:00:13,769000,Silver
235,FahFah,3576100,83,43085,2020-12-27 18:30:05,284000,Silver
236,Feeling Rock,12737348,90,141526,2020-05-11 17:14:05,1460000,Gold
237,FeelingRock,12591570,135,93270,2020-10-03 23:25:19,1520000,Gold
238,FeelingRock191,3400131,62,54840,2020-12-31 13:49:52,1560000,Gold
240,Fiat,28583736,101,283007,2020-12-31 13:31:01,329000,Silver
241,FiawKunG Channel,4634822,58,79910,2020-12-31 12:10:47,582000,Silver
243,Filllykung,3852073,159,24226,2020-12-27 09:00:04,813000,Silver
246,Fit Kab Dao,26540894,236,112461,2020-12-28 11:45:01,436000,Silver
251,Fitjunctions,5459614,63,86660,2020-12-30 10:00:08,872000,Silver
253,Florence room beauty,89451,30,2981,2020-12-31 12:01:34,147000,Silver
254,FoodTravelTVChannel,222101,49,4532,2020-12-28 11:00:04,2410000,Gold
255,Forcejun,404468,44,9192,2020-12-22 18:00:31,102000,Silver
258,Frennicha,1951205,57,34231,2020-12-20 20:30:27,147000,Silver
262,GAME OVER,22987822,81,283800,2020-12-27 16:15:01,1140000,Gold
265,GU ZAP,83631151,264,316784,2020-12-29 18:00:00,1750000,Gold
267,GYNE GENE,2150888,20,107544,2020-12-30 21:02:57,110000,Silver
268,GZR Gozziira,17099851,59,289827,2020-12-31 17:00:12,914000,Silver
269,GaMe NEW,65668,13,5051,2020-05-08 21:00:12,178000,Silver
271,Gamgy channel,45696355,141,324087,2020-12-27 20:00:23,965000,Silver
275,GibPuri Ch,4732132,295,16041,2020-09-22 22:28:18,909000,Silver
276,Gibpuri Ch,798323,83,9618,2020-12-31 16:00:25,912000,Silver
277,Gladiuz KB,29056484,247,117637,2020-12-31 23:15:36,854000,Silver
278,Gluta Story,32279776,101,319601,2020-12-27 19:15:01,770000,Silver
281,GoyNattyDream Channel,56790672,51,1113542,2020-12-31 10:00:01,620000,Silver
282,Gr13,677895,35,19368,2020-04-21 17:17:35,676000,Silver
283,GrCraft,2520265,55,45823,2020-12-27 08:00:02,761000,Silver
286,Grean Gamer,184344,268,687,2020-12-29 06:45:00,168000,Silver
287,GreatBiker,7053822,300,23512,2020-12-31 10:19:42,227000,Silver
288,Green Ezqelusia,5558170,173,32128,2020-12-31 10:15:03,802000,Silver
290,Gssspotted,53256079,203,262345,2020-12-16 20:08:39,609000,Silver
293,Guy Haru Family,100186606,497,201582,2020-12-31 19:00:29,1070000,Gold
294,HAK,3674617,112,32809,2020-12-31 10:00:30,135000,Silver
296,HEARTROCKER,365362262,382,956445,2020-12-31 16:17:05,6680000,Gold
300,Happy Retire,21726155,165,131673,2020-12-23 19:00:29,318000,Silver
302,HeHaa TV,244431641,203,1204096,2020-12-31 14:22:01,7140000,Gold
303,Healthy Fish,4201719,538,7809,2020-12-31 18:15:01,396000,Silver
306,HoneyFamily,107334,11,9757,2020-10-09 17:54:35,124000,Silver
308,HuaHed,626610,30,20887,2020-12-27 19:22:53,116000,Silver
310,HypnosTv,2539593,212,11979,2020-07-08 18:00:14,1940000,Gold
311,I Roam Alone,78507554,79,993766,2020-12-29 19:00:16,1820000,Gold
314,IceBank Diary,16626846,48,346392,2020-12-31 12:30:01,134000,Silver
315,IceBarBer,115840368,304,381053,2020-12-31 10:15:00,1920000,Gold
318,JOETHz,13918639,649,21446,2020-12-31 18:00:01,343000,Silver
319,JONYZAA ID.,329338,55,5987,2020-12-31 07:30:01,208000,Silver
322,Jame Rafa,2688622,83,32393,2020-10-25 16:02:09,285000,Silver
323,Jamsai,18140648,106,171138,2020-12-31 10:15:01,246000,Silver
324,Jane Soraya,3259030,60,54317,2020-12-26 18:29:02,320000,Silver
326,Janistar’s Official,1593335,10,159333,2020-09-12 13:30:00,190000,Silver
330,Jessiescape,1845363,26,70975,2020-12-22 18:00:06,315000,Silver
336,Jossy Berry,2267797,69,32866,2020-12-26 18:45:00,154000,Silver
340,Juepak,10659303,95,112203,2020-12-30 18:00:02,459000,Silver
341,Just4Game,9872518,364,27122,2020-12-31 18:00:27,158000,Silver
343,KARNMAY,2549010,75,33986,2020-12-30 17:27:38,139000,Silver
346,KK Honcool,34318313,395,86881,2020-12-31 17:07:51,1040000,Gold
348,KM Racing,4681919,76,61604,2020-12-28 07:45:12,105000,Silver
349,KNCraZy,34267238,427,80251,2020-12-31 19:06:56,2230000,Gold
353,KRUA dot CO,2907109,224,12978,2020-12-30 18:00:01,437000,Silver
354,KUNG INTER,57810,7,8258,2020-12-23 19:51:47,110000,Silver
355,KaKaRoT Ch,14878531,361,41214,2020-12-31 18:22:44,368000,Silver
356,Kanomroo,22457353,69,325468,2020-12-29 16:51:56,998000,Silver
357,Katheryn Lee,1370535,22,62297,2020-12-24 19:04:58,137000,Silver
359,Kayavine,24184416,91,265762,2020-12-30 19:00:31,1390000,Gold
360,Kaykai Salaider,469199752,83,5653009,2020-12-26 08:30:03,14100000,Diamond
361,KengKawiz,8469439,232,36506,2020-12-20 21:30:04,184000,Silver
362,Keno HappyDay,5932460,76,78058,2020-12-25 19:40:53,746000,Silver
363,Ki . art yoga - online yoga & lifestyle studio,433259,12,36104,2020-11-10 21:46:45,114000,Silver
365,Kia Zaab,20905986,86,243092,2020-12-29 18:00:09,434000,Silver
367,KidsOnCloud,11780118,41,287319,2020-12-21 10:40:59,2310000,Gold
368,Kik Beauty Fit,2001805,160,12511,2020-12-31 15:00:03,371000,Silver
369,Kim Property Live,21385233,279,76649,2020-12-31 13:22:46,614000,Silver
370,King SoYer,258204641,343,752783,2020-12-30 17:32:21,2950000,Gold
371,Kirari TV キラリスター,637263,47,13558,2020-12-04 16:35:59,117000,Silver
372,KirosZ,358164,19,18850,2020-11-27 20:00:00,121000,Silver
373,Kitsguy,15475063,375,41266,2020-12-30 17:24:50,138000,Silver
377,Koonguy Ch,317564,122,2602,2020-12-13 18:00:31,660000,Silver
378,Kree RicKer TV,12585,8,1573,2020-11-19 16:42:40,730000,Silver
384,Kutcha Wants2playz,162087870,321,504946,2020-12-31 10:00:11,2710000,Gold
385,Ky0N,4976924,153,32528,2020-12-31 12:00:30,1080000,Gold
386,Kyutae Oppa,288787529,211,1368661,2020-12-27 17:00:02,6100000,Gold
387,LDA World,27928158,314,88943,2020-12-28 20:00:00,885000,Silver
388,LEEAH,1681308,2,840654,2020-01-14 16:00:13,638000,Silver
389,LEEAH นัตตี้,6123887,57,107436,2020-12-26 21:07:54,777000,Silver
390,LET'S GIRL,9026189,51,176984,2020-12-29 19:00:00,129000,Silver
393,Lakoi DotA2,14352081,307,46749,2020-12-31 12:30:01,126000,Silver
395,Lanna Jr.,5218883,300,17396,2020-12-30 18:18:38,479000,Silver
398,Layza Racing,34567534,173,199812,2020-12-24 18:00:23,2280000,Gold
399,Lenso channel,4482059,71,63127,2020-12-24 11:20:33,180000,Silver
402,Licktga,7248538,82,88396,2020-12-25 19:11:43,698000,Silver
403,Life of Cars Bkk - ตามติดชีวิต 4 ล้อ,24820522,100,248205,2020-12-28 11:19:52,404000,Silver
404,LightKira Channel,16990817,228,74521,2020-12-30 00:45:42,442000,Silver
405,Little Monster Family,25648768,182,140927,2020-12-28 18:45:01,689000,Silver
406,Littlefahsai,303747,18,16874,2020-12-14 17:54:11,202000,Silver
413,LowGrade,260693151,350,744837,2020-12-31 08:00:25,4770000,Gold
416,MAGIC SUPERBIKE,1533016,99,15485,2020-12-28 20:16:45,562000,Silver
417,MAOKUMA,42137771,440,95767,2020-12-31 13:14:13,550000,Silver
418,MAWIN FINFERRR,21697627,196,110702,2020-12-30 17:00:09,353000,Silver
419,MAY DevilMeiji,18554427,58,319903,2020-12-30 16:15:01,1770000,Gold
420,MENOW,45704293,148,308812,2020-12-29 19:00:09,597000,Silver
424,MNJ TV,352134133,278,1266669,2020-12-31 17:15:01,4740000,Gold
426,MOBYDICK,12184454,238,51195,2020-12-18 17:00:22,384000,Silver
427,MOJIKO,95614938,158,605157,2020-12-31 09:45:01,2620000,Gold
429,MONEY HERO,5320955,667,7977,2020-12-31 19:32:49,102000,Silver
430,MOSSSTER,747649,28,26701,2020-12-28 20:02:27,325000,Silver
431,MOV Studio,3996928,4,999232,2020-12-31 23:54:27,269000,Silver
432,MR.Kyoro Danger,27866076,83,335735,2020-12-30 19:11:45,1050000,Gold
433,MRSilver VideoGame,4930130,273,18059,2020-12-30 22:14:23,254000,Silver
434,MTR Mysterios,31812349,101,314973,2020-12-31 16:15:47,1560000,Gold
435,MUJI SAMA,10641100,58,183467,2020-12-31 19:11:06,430000,Silver
436,MZ Crazy Cars,25873835,420,61604,2020-12-30 16:15:03,349000,Silver
438,MadamPam,11649012,314,37098,2020-12-31 07:00:05,953000,Silver
439,Mahidol Channel มหิดล แชนแนล,8165968,428,19079,2020-12-31 20:00:07,892000,Silver
440,Mai Ch,8702254,145,60015,2020-12-25 13:15:13,1560000,Gold
442,Mai's Kitchen,201743,46,4385,2020-12-11 19:14:21,236000,Silver
445,Malinda Herman Official,18348294,226,81187,2020-12-30 10:05:00,1360000,Gold
447,Mark Wiens,167316170,90,1859068,2020-12-30 20:00:15,7070000,Gold
448,Maser,24367798,85,286679,2020-12-31 18:00:08,3720000,Gold
449,Maser Gamer,76531576,261,293224,2020-09-22 14:36:12,3600000,Gold
