channel,account_id,account_display_name,mapped_name
facebook,1416877831868383,ออนนีเยปอ,ออนนีเยปอ
facebook,1418757458345487,ThisIsGame Thailand,ThisIsGame Thailand
facebook,1419074445081008,Lab หุ้น,Lab หุ้น
facebook,141930619169289,Promotion2u,promotion2u
facebook,142036289155129,TaxBugnoms,TaxBugnoms
facebook,1421097118180374,Ronin Rider,Ronin Rider
facebook,1422579877985255,เที่ยวเล่น เน้นกิน,เที่ยวเล่น เน้นกิน
facebook,1423168854666138,Tasty Easy,Tasty Easy
facebook,1425005684388032,Maibat Money,Maibat Money
facebook,142678286206085,Travelerspulse,Travelerspulse
facebook,1427046100880584,กูจะไม่ยอมเห็นรูปนี้คนเดียวแน่ๆ,กูจะไม่ยอมเห็นรูปนี้คนเดียวแน่ๆ
facebook,1427338404222693,ModPro by Iphonemod,ModPro by Iphonemod
facebook,1427944937266189,Zyo Books,Zyo Books
facebook,1430927110469897,ประกิต สิริวัฒนเกตุ,ประกิต สิริวัฒนเกตุ
facebook,1431921053752986,ฅนเล่นหุ้น,ฅนเล่นหุ้น
facebook,1436924239914829,ปั่นแค่ไหว,ปั่นแค่ไหว
facebook,1437026833220837,Kanith,Kanith
facebook,1437285152956253,เล่าเรื่องหุ้น by อ.โอ๊ค,เล่าเรื่องหุ้น by อ.โอ๊ค
facebook,1437521676555227,ทำเองอร่อยจัง,ทำเองอร่อยจัง
facebook,1441929199357522,MadooJapan,MadooJapan
facebook,1442726035991757,พ่อสอนลูกลงทุน,พ่อสอนลูกลงทุน
facebook,1442808386042438,บอลพาเที่ยว Backpacker Ball,บอลพาเที่ยว Backpacker Ball
facebook,1444053725891623,MotoRival,MotoRival
facebook,1444423885773953,Bcare Fanclub,Bcare Fanclub
facebook,144523036226881,หมูหิว,หมูหิว
facebook,144573398896366,TFPA,TFPA
facebook,1447102878929950,หนังฝังมุก,หนังฝังมุก
facebook,144768516112879,Iconic Women Alliance,Iconic Women Alliance
facebook,1449588781736882,เที่ยวไหนกัน วันศุกร์,เที่ยวไหนกัน วันศุกร์
facebook,1450387071863549,หาเรื่องกิน ฟินเรื่องเที่ยว by Hello2Day,หาเรื่องกิน ฟินเรื่องเที่ยว by Hello2Day
facebook,1451232418509665,Nnewys,nnewys
facebook,145167705685617,FNDiary,FNDiary
facebook,1454097371499939,ทับศัพท์,ทับศัพท์
facebook,145504582184523,รถนิยม,รถนิยม
facebook,1456144007991896,Point of View,Point of View
facebook,145624018963859,กบแก้คัน,กบแก้คัน
facebook,1457195797942769,Fit4Tri,Fit4Tri
facebook,145843712843091,รีวิวไม่หยุด,รีวิวไม่หยุด
facebook,146078832834158,Stock-Strike,Stock-Strike
facebook,146099322885675,Fond of Good Food,Fond of good food
facebook,1461136064146581,มิลค์เศษใจ,มิลค์เศษใจ
facebook,146244852086420,อาจารย์อดัม,อาจารย์อดัม
facebook,1462983483940821,เฮ้ย นี่มันตัดต่อชัดๆ V2,เฮ้ย นี่มันตัดต่อชัดๆ V2
facebook,1466470310339099,Around Me,Around Me
facebook,1469550513313035,หุ้นการบ้าน,หุ้นการบ้าน
facebook,1473936899520037,ขอแชร์นะ,ขอแชร์นะ
facebook,218228675013635,Dom Paleoworld,Dom Paleoworld
facebook,147698319178662,รีวิวมนุษย์ผิวแห้ง,รีวิวมนุษย์ผิวแห้ง
facebook,1477446835706612,Cycling Hub Thailand,Cycling Hub Thailand
facebook,1478007052430463,TDKeane,TDKeane
facebook,147873281942757,Beauty By Orangina,Beauty By Orangina
facebook,147891205242190,Maycry999,Maycry999
facebook,573961149441500,อยากเป็นนักวางแผนการเงิน,อยากเป็นนักวางแผนการเงิน
facebook,1482388275384756,ชะนีมีกล้าม,ชะนีมีกล้าม
facebook,1482429188687437,Thisisgame Mobile,Thisisgame Mobile
facebook,1485819988376962,MotoWish,MotoWish
facebook,1485877214992898,PK's Trading Diary,PK's Trading Diary
facebook,1485961075046420,ReviewPapai - รีวิวพาไป,ReviewPapai - รีวิวพาไป
facebook,148837138514072,Freeware.in.th,Freeware.in.th
facebook,148994658484465,Dailydelicious,Dailydelicious
facebook,1492294674327397,คลินิกกองทุน,คลินิกกองทุน
facebook,1492772990967861,HashCorner,HashCorner
facebook,149400895675712,Dude It’s Time,Dude It’s Time
facebook,1494226220658121,SnapTech Zone,SnapTech Zone
facebook,1496114764046899,ติน่า เทย์เลอร์ - Tina Taylor,ติน่า เทย์เลอร์ - Tina Taylor
facebook,453493788146565,รีวิวโคราช,รีวิวโคราช
facebook,1497736673719941,หมีเรื่องมาเล่า,หมีเรื่องมาเล่า
facebook,1498062087166071,กินข้าวกัน,กินข้าวกัน
facebook,1499420620362180,Foodoclock Eat Around Theclock,Foodoclock Eat Around Theclock
facebook,1501588676783760,วินทร์ เลียววาริณ,วินทร์ เลียววาริณ
facebook,1502474313404110,คําไทย,คําไทย
facebook,1502685290026738,หัวกลม,หัวกลม
facebook,150320285013073,วางแผนการเงินกับภูเขา Poohkao Financial Club,วางแผนการเงินกับภูเขา Poohkao Financial Club
facebook,1504206229655134,นินจา การตลาด,นินจา การตลาด
facebook,1505130026460747,Fit Style Fern,Fit Style Fern
facebook,1505683352790505,Lili Tae,Lili Tae
facebook,1510897615854955,Signature Gaming,Signature Gaming
facebook,151234244936649,การเงินธนาคาร,การเงินธนาคาร
